Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Chionodes unidentified species,NaN,9
NoCommonName,Chloridea subflexa,NaN,1
NoCommonName,Chloridea unidentified species,NaN,1
NoCommonName,Chloridea virescens,NaN,17
NoCommonName,Chlorochlamys chloroleucaria,2,19
NoCommonName,Chloropteryx tepperaria,NaN,23
Gorgone Checkerspot,Chlosyne Gorgone,NaN,9
Silvery Checkerspot,Chlosyne Nycteis,0,1074
NoCommonName,Choephora fungorum,0,32
NoCommonName,Choristoneura conflictana,NaN,1
NoCommonName,Choristoneura fractivittana,0,6
NoCommonName,Choristoneura fumiferana,NaN,1
NoCommonName,Choristoneura obsoletana,0,6
NoCommonName,Choristoneura parallela,NaN,2
NoCommonName,Choristoneura pinus,0,1
NoCommonName,Choristoneura rosaceana,2,33
NoCommonName,Choristoneura unidentified species,NaN,2
NoCommonName,Chrysanympha formosa,0,2
NoCommonName,Chrysendeton medicinalis,0,5
NoCommonName,Chrysodeixis includens,0,36
NoCommonName,Chytolita morbidalis,0,36
NoCommonName,Chytolita petrealis,NaN,17
NoCommonName,Chytonix palliatricula,0,63
NoCommonName,Chytonix sensilis,NaN,4
NoCommonName,Cicinnus melsheimeri,0,2
NoCommonName,Cirrhophanus triangulifer,NaN,11
NoCommonName,Cisseps fulvicollis,4,22
NoCommonName,Cissusa spadix,NaN,22
NoCommonName,Cisthene kentuckiensis,NaN,4
NoCommonName,Cisthene packardii,1,19
NoCommonName,Cisthene plumbea,1,49
NoCommonName,Cisthene subjecta,0,8
NoCommonName,Cisthene tenuifascia,NaN,6
NoCommonName,Citheronia sepulcralis,1,15
NoCommonName,Clemensia albata,0,66
NoCommonName,Cleora sublunaria,0,20
NoCommonName,Clepsis peritana,1,35
NoCommonName,Clepsis unidentified species,NaN,1
NoCommonName,Clepsis virescana,0,12
NoCommonName,Clydonopteron sacculana,1,16
NoCommonName,Cochylis nana,NaN,1
NoCommonName,Cochylis unidentified species,NaN,1
NoCommonName,Coelostathma discopunctana,NaN,17
NoCommonName,Coleophora albovanescens,NaN,1
NoCommonName,Coleophora mayrella,NaN,1
NoCommonName,Coleophora octagonella,NaN,3
NoCommonName,Coleophora ostryae,NaN,3
NoCommonName,Coleophora trifolii,NaN,1
NoCommonName,Coleophora unidentified species,NaN,8
NoCommonName,Coleotechnites albicostata,NaN,4
NoCommonName,Coleotechnites chilcotti,NaN,1
NoCommonName,Coleotechnites quercivorella,0,8
NoCommonName,Coleotechnites unidentified species,NaN,2
Orange Sulphur,Colias Eurytheme,15,4086
Clouded Sulphur,Colias Philodice,10,1679
NoCommonName,Colobochyla interpuncta,0,17
NoCommonName,Colocasia flavicornis,NaN,22
NoCommonName,Colocasia propinquilinea,0,8
NoCommonName,Colomychus talis,NaN,1
NoCommonName,Comachara cadburyi,NaN,8
NoCommonName,Conchylodes ovulalis,0,10
NoCommonName,Condica confederata,NaN,6
NoCommonName,Condica cupentia,NaN,4
NoCommonName,Condica mobilis,NaN,11
NoCommonName,Condica sutor,1,20
NoCommonName,Condica vecors,0,30
NoCommonName,Condica videns,1,32
NoCommonName,Condylolomia participalis,3,8
NoCommonName,Condylorrhiza vestigialis,NaN,2
Southern Skipperling,Copaeodes Minima,0,519
NoCommonName,Copivaleria grotei,0,18
NoCommonName,Coptodisca ostryaefoliella,NaN,3
NoCommonName,Coptodisca saliciella,NaN,2
NoCommonName,Coptotriche citrinipennella,NaN,6
NoCommonName,Coptotriche unidentified species,NaN,1
NoCommonName,Corticivora parva,NaN,5
NoCommonName,Coryphista meadii,0,2
NoCommonName,Cosmia calami,0,23
NoCommonName,Cosmopterix clemensella,NaN,1
NoCommonName,Cossula magnifica,0,14
NoCommonName,Crambidia lithosioides,0,5
NoCommonName,Crambidia pallida,0,6
NoCommonName,Crambidia uniformis,9,62
NoCommonName,Crambidia xanthocorpa,NaN,10
NoCommonName,Crambodes talidiformis,NaN,1
NoCommonName,Crambus agitatellus,4,18
NoCommonName,Crambus albellus,0,2
NoCommonName,Crambus laqueatellus,NaN,5
NoCommonName,Crambus leachellus,NaN,1
NoCommonName,Crambus praefectellus,NaN,11
NoCommonName,Crambus satrapellus,0,1
NoCommonName,Crocidophora pustuliferalis,0,2
NoCommonName,Crocidophora serratissimalis,NaN,4
NoCommonName,Crocidophora tuberculalis,0,5
NoCommonName,Crocidosema unica,NaN,1
NoCommonName,Crocigrapha normani,0,12
NoCommonName,Cryptothelea gloverii,NaN,1
NoCommonName,Cryptothelea unidentified species,NaN,2
NoCommonName,Ctenoplusia oxygramma,0,24
NoCommonName,Cucullia alfarata,NaN,2
NoCommonName,Cucullia asteroides,NaN,1
NoCommonName,Cucullia convexipennis,0,5
Eastern Tailed-Blue,Cupido Comyntas,8,6498
NoCommonName,Cutina albopunctella,NaN,1
