Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Cutina arcuata,0,1
NoCommonName,Cutina distincta,0,2
NoCommonName,Cyclophora nanaria,0,1
NoCommonName,Cyclophora packardi,0,74
NoCommonName,Cyclophora pendulinaria,0,9
NoCommonName,Cyclophora unidentified species,0,3
NoCommonName,Cycnia collaris,0,1
NoCommonName,Cycnia oregonensis,1,5
NoCommonName,Cycnia tenera,3,43
NoCommonName,Cydia caryana,0,9
NoCommonName,Cydia latiferreana,0,26
NoCommonName,Cydia marita,0,2
NoCommonName,Cydia toreuta,0,6
Gemmed Satyr,Cyllopsis Gemma,7,1368
NoCommonName,Cymatophora approximaria,0,9
Soldier,Danaus Eresimus,0,2
Queen,Danaus Gilippus,0,146
Monarch,Danaus Plexippus,4,4464
NoCommonName,Darapsa choerilus,0,23
NoCommonName,Darapsa myron,8,33
NoCommonName,Darapsa versicolor,0,1
NoCommonName,Dasychira atrivenosa,0,3
NoCommonName,Dasychira basiflava,0,15
NoCommonName,Dasychira dorsipennata,0,3
NoCommonName,Dasychira manto,0,11
NoCommonName,Dasychira meridionalis,0,2
NoCommonName,Dasychira obliquata,0,20
NoCommonName,Dasychira plagiata,0,2
NoCommonName,Dasychira tephra,0,21
NoCommonName,Dasychira vagans,0,2
NoCommonName,Datana angusii,0,42
NoCommonName,Datana contracta,1,32
NoCommonName,Datana integerrima,3,43
NoCommonName,Datana major,0,6
NoCommonName,Datana ministra,1,24
NoCommonName,Datana perspicua,1,7
NoCommonName,Datana ranaeceps,0,1
NoCommonName,Datana unidentified species,0,3
NoCommonName,Decantha boreasella,2,7
NoCommonName,Decantha stecia,0,1
NoCommonName,Decodes basiplagana,0,4
NoCommonName,Deidamia inscriptum,0,24
NoCommonName,Desmia funeralis,3,43
NoCommonName,Desmia maculalis,0,22
